"id","position","comment","floor_id","created","created_by_id","ethernet","power_plug","type_id","height","needs_to_be_reviewed","poe"
10469,"(60.4483569895930017,22.2947583720088005)","B8:27:EB:E5:D4:F0",1565,"2019-03-28 11:52:25.629667+00",,FALSE,FALSE,2,1,FALSE,TRUE
10820,"(60.4483655883543776,22.2946205735206604)","B8:27:EB:99:E5:9B",1565,"2019-07-26 07:16:19.136186+00",,FALSE,FALSE,2,1,FALSE,TRUE
10819,"(60.4483898550387124,22.2948849387466979)","B8:27:EB:C1:FF:79",1565,"2019-07-26 07:15:33.210183+00",,FALSE,FALSE,2,1,FALSE,TRUE
10484,"(60.4483277207153264,22.2948176320642233)","14",1565,"2019-03-28 12:21:13.081085+00",,FALSE,FALSE,1,1,FALSE,FALSE
10543,"(60.4483187085414002,22.294818889349699)","14.1",1565,"2019-04-10 08:18:17.088604+00",,FALSE,FALSE,1,1,FALSE,FALSE
10542,"(60.4483370636084985,22.2948091663419987)","14.2",1565,"2019-04-10 08:14:45.316304+00",,FALSE,FALSE,1,1,FALSE,FALSE
10541,"(60.4483022551166016,22.2948381677270007)","9.4",1565,"2019-04-10 08:09:52.919946+00",,FALSE,FALSE,1,1,FALSE,FALSE
10540,"(60.4483037433665018,22.2948484774679017)","9.3",1565,"2019-04-10 08:08:57.26238+00",,FALSE,FALSE,1,1,FALSE,FALSE
10539,"(60.4483065545048035,22.2948691807686998)","9.2",1565,"2019-04-10 08:07:04.518148+00",,FALSE,FALSE,1,1,FALSE,FALSE
10538,"(60.4483077120323031,22.2948787361383474)","9.1",1565,"2019-04-10 08:04:44.500871+00",,FALSE,FALSE,1,1,FALSE,FALSE
10495,"(60.4483679034050922,22.2946145385503804)","25",1565,"2019-03-28 12:45:58.409141+00",,FALSE,FALSE,1,1,FALSE,FALSE
10494,"(60.448393286272001,22.2946535982191989)","24",1565,"2019-03-28 12:44:30.431499+00",,FALSE,FALSE,1,1,FALSE,FALSE
10493,"(60.4484136256234024,22.2946871258317998)","23",1565,"2019-03-28 12:43:18.131787+00",,FALSE,FALSE,1,1,FALSE,FALSE
10492,"(60.4483445048489827,22.2946814261376858)","22",1565,"2019-03-28 12:40:03.849028+00",,FALSE,FALSE,1,1,FALSE,FALSE
10491,"(60.4483688128892993,22.2947149537504004)","21",1565,"2019-03-28 12:37:23.303022+00",,FALSE,FALSE,1,1,FALSE,FALSE
10490,"(60.4483933689523454,22.2947558574378526)","20",1565,"2019-03-28 12:36:55.00569+00",,FALSE,FALSE,1,1,FALSE,FALSE
10489,"(60.4483243308153391,22.2947037220001221)","19",1565,"2019-03-28 12:34:07.11747+00",,FALSE,FALSE,1,1,FALSE,FALSE
10488,"(60.4483522768094304,22.2947471402585506)","18",1565,"2019-03-28 12:32:58.148204+00",,FALSE,FALSE,1,1,FALSE,FALSE
10487,"(60.4483840260753098,22.2948029637336731)","17",1565,"2019-03-28 12:29:46.713066+00",,FALSE,FALSE,1,1,FALSE,FALSE
10486,"(60.4482831559044982,22.2947276942431998)","16",1565,"2019-03-28 12:25:47.44727+00",,FALSE,FALSE,1,1,FALSE,FALSE
10485,"(60.4483079600738904,22.2947721183300018)","15",1565,"2019-03-28 12:24:37.472686+00",,FALSE,FALSE,1,1,FALSE,FALSE
10483,"(60.4483470679424997,22.2948572784661998)","13",1565,"2019-03-28 12:19:34.484067+00",,FALSE,FALSE,1,1,FALSE,FALSE
10482,"(60.4483674900032142,22.2948928177356755)","12",1565,"2019-03-28 12:18:13.730081+00",,FALSE,FALSE,1,1,FALSE,FALSE
10481,"(60.4482715806189717,22.2947977669537067)","11",1565,"2019-03-28 12:15:10.57257+00",,FALSE,FALSE,1,1,FALSE,FALSE
10480,"(60.4482865458087986,22.2948222421109996)","10",1565,"2019-03-28 12:14:28.494706+00",,FALSE,FALSE,1,1,FALSE,FALSE
10479,"(60.4483050662551236,22.2948572784662282)","9",1565,"2019-03-28 12:12:12.4771+00",,FALSE,FALSE,1,1,FALSE,FALSE
10478,"(60.4482594265647109,22.2948675043880939)","8",1565,"2019-03-28 12:09:51.347277+00",,FALSE,FALSE,1,1,FALSE,FALSE
10477,"(60.4482776163041109,22.2948852740228212)","7",1565,"2019-03-28 12:08:14.129896+00",,FALSE,FALSE,1,1,FALSE,FALSE
10476,"(60.4482352838040242,22.2948730364441907)","6",1565,"2019-03-28 12:06:42.986347+00",,FALSE,FALSE,1,1,FALSE,FALSE
10475,"(60.4482485953968975,22.2948954999447011)","5",1565,"2019-03-28 12:04:13.384662+00",,FALSE,FALSE,1,1,FALSE,FALSE
10474,"(60.4482634779166403,22.2949211485683989)","4",1565,"2019-03-28 12:03:17.453504+00",,FALSE,FALSE,1,1,FALSE,FALSE
10473,"(60.4482216414826965,22.2949074022472011)","3",1565,"2019-03-28 12:00:27.676056+00",,FALSE,FALSE,1,1,FALSE,FALSE
10472,"(60.4482354491654021,22.2949313744903002)","2",1565,"2019-03-28 11:58:45.866038+00",,FALSE,FALSE,1,1,FALSE,FALSE
10471,"(60.4482500009684998,22.294957190752033)","1",1565,"2019-03-28 11:57:02.532365+00",,FALSE,FALSE,1,1,FALSE,FALSE
10470,"(60.4483245788567984,22.294689640402801)","b8:27:eb:67:b0:18",1565,"2019-03-28 11:54:23.803752+00",,FALSE,FALSE,2,1,FALSE,TRUE
10468,"(60.4482514892207021,22.2948659956455018)","b8:27:eb:46:95:36",1565,"2019-03-28 11:49:26.189672+00",,FALSE,FALSE,2,1,FALSE,TRUE
