"id","mac","name","position","height","horizontal_bearing"
9,"b8:27:eb:a1:ca:a0","Moonraker #9 (XR-2 0.6.A)","(60.448348,22.29486)",1.3,0
1,"b8:27:eb:5a:c6:b3","Moonraker #7 (XR-2 0.6.A)","(60.448135,22.294936)",2.5,309
10,"b8:27:eb:78:94:8e","Moonraker #6 (XR-2 0.6.A)","(60.448187,22.294862)",2.2,41
2,"b8:27:eb:2e:d2:d7","Moonraker #4 ""meeting-room-corner"" (XR-2 0.6.A)","(60.448157,22.29497)",2.05,129
3,"b8:27:eb:11:e2:e6","Moonraker #12 ""e-team"" (XR-2 1.4A)","(60.448182,22.294845)",2.45,164
4,"b8:27:eb:66:0d:2a","Moonraker #10 ""Anton"" (XR-2 1.4A)","(60.448265,22.294823)",2.22,34
6,"b8:27:eb:a4:64:04","Moonraker #5 ""Chili-kitchen"" (XR-2 0.6.A)","(60.448234,22.294745)",2.41,309
7,"b8:27:eb:fd:6f:56","Moonraker #11 ""Cover"" (XR-2 1.4A)","(60.448211,22.294875)",2.29,167
8,"b8:27:eb:c1:4b:69","Moonraker #13 ""frontend"" (XR-2 1.4A)","(60.44817,22.294937)",2.27,26
11,"b8:27:eb:a8:96:05","Moonraker #4 brokern ethernet #1","(60.448216,22.294902)",2.15,37
12,"b8:27:eb:c0:67:cf","Moonraker #3 (XR-2 0.5)","(60.448156,22.294998)",2.16,37
13,"b8:27:eb:9e:6a:c5","Moonraker #1 (XR-2 0.5)","(60.448147,22.294878)",2.66,129
5,"b8:27:eb:52:02:5f","Moonraker #8 (XR-2 0.6.A)","(60.44821,22.294878)",2.29,177
